engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
CPU,EuropeanCall,16,100000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.2645296439,0.2059481513,0.5721180000
CPU,AsianArithmeticCall,16,100000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7751910699,0.1102034563,39.6963870000
CPU,BasketEuropeanCall,16,100000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,51.8753048278,0.2627912332,284.1909240000
CPU,EuropeanCall,16,500000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5132543713,0.0923899002,1.3427050000
CPU,AsianArithmeticCall,16,500000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7461900071,0.0494965440,188.6717070000
CPU,BasketEuropeanCall,16,500000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,51.8490819350,0.1176528752,1388.7168420000
CPU,EuropeanCall,16,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5951253799,0.0654448778,2.0321550000
CPU,AsianArithmeticCall,16,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7554624916,0.0349687073,374.5280070000
CPU,BasketEuropeanCall,16,1000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.0277339619,0.0833095557,2760.6166330000
CPU,EuropeanCall,16,5000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5650974889,0.0292332626,9.2903670000
CPU,AsianArithmeticCall,16,5000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7521294403,0.0156218433,1815.1175940000
CPU,BasketEuropeanCall,16,5000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2189505393,0.0373407278,13794.1878440000
CPU,EuropeanCall,16,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5439063348,0.0206644767,18.0663120000
CPU,AsianArithmeticCall,16,10000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7613681651,0.0110474664,3598.7783720000
CPU,BasketEuropeanCall,16,10000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2721866074,0.0264153852,27457.3326880000
