engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms,block_size,blocks_per_sm
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5911486025,0.0206755435,0.7605980000,128,2
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5486092593,0.0206620400,1.8447720000,128,4
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5480065200,0.0206587310,0.9117990000,128,8
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5486092593,0.0206620400,0.8761100000,256,2
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5480065200,0.0206587310,0.8859660000,256,4
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5516798751,0.0206558774,1.2339620000,256,8
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5480065200,0.0206587310,0.9576740000,512,2
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5516798751,0.0206558774,1.0255670000,512,4
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5491313562,0.0206530734,1.9142980000,512,8
